TF,Count,TF_SYMBOL
ALX1,22,ALX1
ALX3,105,ALX3
ARX,66,ARX
ATF2,40,ATF2
BARHL2,46,BARHL2
BARX2,39,BARX2
BHLHE22,27,BHLHE22
BSX,65,BSX
CDX1,25,CDX1
CDX4,66,CDX4
CEBPE,41,CEBPE
CEBPG,28,CEBPG
CREB1,31,CREB1
CREB5,27,CREB5
CREM,22,CREM
CRX,36,CRX
CUX1,37,CUX1
CUX2,25,CUX2
DBX2,48,DBX2
DLX1,89,DLX1
DLX2,167,DLX2
DLX3,47,DLX3
DLX4,87,DLX4
DLX5,117,DLX5
DLX6,46,DLX6
DMRT3,21,DMRT3
DMRTA1,39,DMRTA1
DRGX,33,DRGX
ELF2,35,ELF2
ELF4,29,ELF4
ELF5,68,ELF5
ELK1,45,ELK1
ELK3,37,ELK3
EMX1,43,EMX1
EN2,75,EN2
ESRRA,36,ESRRA
ESRRG,23,ESRRG
ESX1,104,ESX1
ETV1,36,ETV1
ETV2,33,ETV2
ETV4,34,ETV4
ETV5,26,ETV5
EVX1,128,EVX1
EVX2,87,EVX2
FEV,46,FEV
FOSL1,20,FOSL1
FOXB1,44,FOXB1
FOXC2,74,FOXC2
FOXI1,22,FOXI1
FOXI2,26,FOXI2
FOXJ2,60,FOXJ2
FOXK1,53,FOXK1
FOXK2,25,FOXK2
FOXL2,137,FOXL2
FOXM1,27,FOXM1
FOXO1,32,FOXO1
FOXO3A,45,FOXO3
FOXO6,36,FOXO6
FOXP2,27,FOXP2
GATA2,35,GATA2
GATA3,48,GATA3
